iso3,year,pop,inc,inc.sd,newinc,inc.lo,inc.hi
NPL,2000,23941110,417.347762706872,60.9980500027762,123.298376725223,306.413867526126,545.074874434337
NPL,2001,24347106,405.192002628031,61.0072835167084,121.24233574208,294.508433740412,533.178351283904
NPL,2002,24725627,393.390293813622,61.022132176811,122.783539523588,282.956227719701,521.655270618071
NPL,2003,25080872,381.932324090895,61.0378584893936,132.048837855398,271.755171854249,510.484983237414
NPL,2004,25419344,370.808081641646,61.04691101523,125.805764302965,260.907926695248,499.640646963305
NPL,2005,25744500,360.007846254025,61.0391681742444,129.922896152576,250.421330326023,489.089641863366
NPL,2006,26066693,349.522180829151,61.2658465967652,125.332354203888,239.879881900696,479.393329236471
NPL,2007,26382581,339.341923135098,61.3151342675314,124.855107997205,229.943151835573,469.609218633958
NPL,2008,26666576,329.458177801066,61.2737274855238,123.409169591177,220.458610154954,459.922450921569
NPL,2009,26883535,319.862308544724,61.1505438283909,129.774599954954,211.400839321453,450.3426407602
NPL,2010,27013212,310.545930625946,60.9090595154911,129.988244270989,202.816456904344,440.77504875684
NPL,2011,27041220,301.500903520336,60.5678088083702,131.036987236523,194.664859764374,431.251575704024
NPL,2012,26989163,292.719323806151,60.1304274581166,130.404192230785,186.929604348209,421.770393479665
NPL,2013,26916793,284.193518258399,59.5858549813695,125.698481241803,179.61736924448,412.295826956747
NPL,2014,26905978,275.916037144077,58.9305812880011,131.112126829212,172.723186859946,402.809877353786
NPL,2015,27015031,267.879647712696,58.2774504835155,122.890845470435,166.064563681054,393.567543281859
NPL,2016,27263433,260.077327876404,57.6243196790298,115.06621341487,159.637649207842,384.556690033364
NPL,2017,27632681,252.502260074178,56.9785086842515,112.417611595487,153.424426097449,375.787636821962
NPL,2018,28095714,245.147825314736,56.3399354641367,113.380282843141,147.418443395041,367.253597697656
