iso3,year,pop,inc,inc.sd,newinc,inc.lo,inc.hi,inc.num,inc.lo.num,inc.hi.num
LSO,2000,2032804,826.666987652811,179.259474311983,479.436286036431,513.167329373217,1212.97072113964,16804.5195916859,10431.6859981919,24657.3173381554
LSO,2001,2035740,922.822299748848,200.110374318988,345.820193148437,572.820125766977,1354.02114139641,18786.2626849072,11661.1284282887,27564.3499838633
LSO,2002,2029829,1007.0912376839,218.383760991846,498.120777661567,625.09241559161,1477.62873836034,20442.2299989667,12688.307128479,29993.3366435723
LSO,2003,2018348,1083.37968310866,234.92660935422,638.839288368507,672.409177113822,1589.5249723542,21866.37216643,13571.5571780933,32082.1454890114
LSO,2004,2005940,1148.21149622229,248.985132206863,568.760780481969,712.6162390807,1684.61312745554,23032.4336873215,14294.6541862154,33792.3285688816
LSO,2005,1996114,1196.7991060263,259.521163670115,541.151457281498,742.746703251047,1755.87363763569,23889.4745072658,14826.0709281326,35049.2395031552
LSO,2006,1989939,1226.94436908298,266.058045013207,619.516477640772,761.439565574038,1800.08482070049,24415.4445086862,15152.1828767884,35820.5898801991
LSO,2007,1986922,1231.64727893959,267.077852458313,668.672449144959,764.355736310615,1806.98205746964,24471.870747652,15187.1522830176,35903.324035917
LSO,2008,1987129,1239.12413624236,268.69917946135,604.84246367498,768.991931756864,1817.94749516286,24622.9950572715,15280.8616836009,36124.9618811549
LSO,2009,1990131,1230.66387203269,266.864604550996,613.678195053492,763.745948929313,1805.53980515155,24491.823223123,15199.5448908864,35932.6073796605
LSO,2010,1995581,1184.39417545132,256.831203423774,584.992541019382,735.054268809164,1737.68027468566,23635.5451304131,14668.6033280446,34676.8174023748
LSO,2011,2003788,1119.76338335611,242.816271185765,576.957242981793,694.973875291574,1642.88902982433,22437.6843040837,13925.8031162275,32920.0132329364
LSO,2012,2014994,1043.13328250883,226.199336193162,534.790674314663,647.447569093459,1530.49412138224,21019.073054556,13046.0296703791,30839.3647162049
LSO,2013,2028530,948.098423167867,205.59140194488,471.030746402567,588.499617978745,1391.0973905096,19232.4609434871,11937.8913005842,28218.8278957044
LSO,2014,2043445,852.663882167403,184.896798305847,432.602785981516,529.296044632981,1251.10641747258,17423.7174669557,10815.8735592504,25565.6715325226
LSO,2015,2059021,779.870222856321,169.111780522083,368.816053843064,484.132741993539,1144.32152257766,16057.6916613585,9968.39482552278,23561.8204573938
LSO,2016,2075030,721.330491816139,156.417670839025,354.30813048486,447.809746497868,1058.44311292008,14967.8241043324,9292.18658275471,21963.0121260256
LSO,2017,2091534,681.202495773082,147.716073238888,340.276562561259,422.909279187677,999.573187235148,14247.5818079426,8845.29136336518,20906.4130659068
LSO,2018,2108328,658.977736103608,142.896721801652,333.297285811316,409.117653556491,966.967667149954,13893.4121240385,8625.54204287449,20386.8500774693
LSO,2019,2125268,653.551014469351,141.719958628665,331.299393770574,405.75002589599,959.006162235931,13889.7105741925,8623.27546035919,20381.4510840283
